Covered ID,Cell Size,CenterX,CenterY,Boundary Length,Boundary NormalX, Boundary NormalY,Volume Fraction,FirstX,FirstY,Laplacian
2,0.125,0.5625,-0.4375,0.0346739,0.932005,-0.362446,0.986857,0.00194682,-0.00160672,0.512035
2,0.125,0.6875,-0.4375,0.0975924,0.952926,-0.303204,0.0905638,-0.00461,0.00157546,0.47201
0,0.125,0.8125,-0.4375,0,0,0,0,0,0,0
0,0.125,0.9375,-0.4375,0,0,0,0,0,0,0
0,0.125,-0.9375,-0.3125,0,0,0,0,0,0,0
0,0.125,-0.8125,-0.3125,0,0,0,0,0,0,0
2,0.125,-0.6875,-0.3125,0.128351,-0.975133,-0.221621,0.360457,0.00223867,6.16764e-07,0.497339
1,0.125,-0.5625,-0.3125,0,0,0,1,0,0,0.417969
1,0.125,-0.4375,-0.3125,0,0,0,1,0,0,0.292969
1,0.125,-0.3125,-0.3125,0,0,0,1,0,0,0.199219
1,0.125,-0.1875,-0.3125,0,0,0,1,0,0,0.136719
1,0.125,-0.0625,-0.3125,0,0,0,1,0,0,0.105469
1,0.125,0.0625,-0.3125,0,0,0,1,0,0,0.105469
1,0.125,0.1875,-0.3125,0,0,0,1,0,0,0.136719
1,0.125,0.3125,-0.3125,0,0,0,1,0,0,0.199219
1,0.125,0.4375,-0.3125,0,0,0,1,0,0,0.292969
1,0.125,0.5625,-0.3125,0,0,0,1,0,0,0.417969
2,0.125,0.6875,-0.3125,0.128351,0.975133,-0.221621,0.360457,-0.00223867,6.1582e-07,0.497339
0,0.125,0.8125,-0.3125,0,0,0,0,0,0,0
0,0.125,0.9375,-0.3125,0,0,0,0,0,0,0
0,0.125,-0.9375,-0.1875,0,0,0,0,0,0,0
0,0.125,-0.8125,-0.1875,0,0,0,0,0,0,0
2,0.125,-0.6875,-0.1875,0.126138,-0.99083,-0.135113,0.544849,-0.000707152,1.27001e-08,0.462445
1,0.125,-0.5625,-0.1875,0,0,0,1,0,0,0.355469
1,0.125,-0.4375,-0.1875,0,0,0,1,0,0,0.230469
1,0.125,-0.3125,-0.1875,0,0,0,1,0,0,0.136719
1,0.125,-0.1875,-0.1875,0,0,0,1,0,0,0.0742188
1,0.125,-0.0625,-0.1875,0,0,0,1,0,0,0.0429688
1,0.125,0.0625,-0.1875,0,0,0,1,0,0,0.0429688
1,0.125,0.1875,-0.1875,0,0,0,1,0,0,0.0742188
1,0.125,0.3125,-0.1875,0,0,0,1,0,0,0.136719
1,0.125,0.4375,-0.1875,0,0,0,1,0,0,0.230469
1,0.125,0.5625,-0.1875,0,0,0,1,0,0,0.355469
2,0.125,0.6875,-0.1875,0.126138,0.99083,-0.135113,0.544849,0.000707151,1.53241e-08,0.462445
0,0.125,0.8125,-0.1875,0,0,0,0,0,0,0
0,0.125,0.9375,-0.1875,0,0,0,0,0,0,0
0,0.125,-0.9375,-0.0625,0,0,0,0,0,0,0
0,0.125,-0.8125,-0.0625,0,0,0,0,0,0,0
2,0.125,-0.6875,-0.0625,0.125123,-0.998969,-0.0454077,0.634664,-0.00210619,4.80825e-09,0.440877
1,0.125,-0.5625,-0.0625,0,0,0,1,0,0,0.324219
1,0.125,-0.4375,-0.0625,0,0,0,1,0,0,0.199219
1,0.125,-0.3125,-0.0625,0,0,0,1,0,0,0.105469
1,0.125,-0.1875,-0.0625,0,0,0,1,0,0,0.0429688
1,0.125,-0.0625,-0.0625,0,0,0,1,0,0,0.0117188
1,0.125,0.0625,-0.0625,0,0,0,1,0,0,0.0117188
1,0.125,0.1875,-0.0625,0,0,0,1,0,0,0.0429688
1,0.125,0.3125,-0.0625,0,0,0,1,0,0,0.105469
1,0.125,0.4375,-0.0625,0,0,0,1,0,0,0.199219
1,0.125,0.5625,-0.0625,0,0,0,1,0,0,0.324219
2,0.125,0.6875,-0.0625,0.125123,0.998969,-0.0454077,0.634664,0.00210619,4.67721e-09,0.440877
0,0.125,0.8125,-0.0625,0,0,0,0,0,0,0
0,0.125,0.9375,-0.0625,0,0,0,0,0,0,0
0,0.125,-0.9375,0.0625,0,0,0,0,0,0,0
0,0.125,-0.8125,0.0625,0,0,0,0,0,0,0
2,0.125,-0.6875,0.0625,0.125123,-0.998969,0.0454077,0.634664,-0.00210619,-4.67721e-09,0.440877
1,0.125,-0.5625,0.0625,0,0,0,1,0,0,0.324219
1,0.125,-0.4375,0.0625,0,0,0,1,0,0,0.199219
1,0.125,-0.3125,0.0625,0,0,0,1,0,0,0.105469
1,0.125,-0.1875,0.0625,0,0,0,1,0,0,0.0429688
1,0.125,-0.0625,0.0625,0,0,0,1,0,0,0.0117188
1,0.125,0.0625,0.0625,0,0,0,1,0,0,0.0117188
1,0.125,0.1875,0.0625,0,0,0,1,0,0,0.0429688
1,0.125,0.3125,0.0625,0,0,0,1,0,0,0.105469
1,0.125,0.4375,0.0625,0,0,0,1,0,0,0.199219
1,0.125,0.5625,0.0625,0,0,0,1,0,0,0.324219
2,0.125,0.6875,0.0625,0.125123,0.998969,0.0454077,0.634664,0.00210619,-4.80825e-09,0.440877
0,0.125,0.8125,0.0625,0,0,0,0,0,0,0
0,0.125,0.9375,0.0625,0,0,0,0,0,0,0
0,0.125,-0.9375,0.1875,0,0,0,0,0,0,0
0,0.125,-0.8125,0.1875,0,0,0,0,0,0,0
2,0.125,-0.6875,0.1875,0.126138,-0.99083,0.135113,0.544849,-0.000707151,-1.53241e-08,0.462445
1,0.125,-0.5625,0.1875,0,0,0,1,0,0,0.355469
1,0.125,-0.4375,0.1875,0,0,0,1,0,0,0.230469
1,0.125,-0.3125,0.1875,0,0,0,1,0,0,0.136719
1,0.125,-0.1875,0.1875,0,0,0,1,0,0,0.0742188
1,0.125,-0.0625,0.1875,0,0,0,1,0,0,0.0429688
1,0.125,0.0625,0.1875,0,0,0,1,0,0,0.0429688
1,0.125,0.1875,0.1875,0,0,0,1,0,0,0.0742188
1,0.125,0.3125,0.1875,0,0,0,1,0,0,0.136719
1,0.125,0.4375,0.1875,0,0,0,1,0,0,0.230469
1,0.125,0.5625,0.1875,0,0,0,1,0,0,0.355469
2,0.125,0.6875,0.1875,0.126138,0.99083,0.135113,0.544849,0.000707152,-1.27001e-08,0.462445
0,0.125,0.8125,0.1875,0,0,0,0,0,0,0
0,0.125,0.9375,0.1875,0,0,0,0,0,0,0
0,0.125,-0.9375,0.3125,0,0,0,0,0,0,0
0,0.125,-0.8125,0.3125,0,0,0,0,0,0,0
2,0.125,-0.6875,0.3125,0.128351,-0.975133,0.221621,0.360457,0.00223867,-6.1582e-07,0.497339
1,0.125,-0.5625,0.3125,0,0,0,1,0,0,0.417969
1,0.125,-0.4375,0.3125,0,0,0,1,0,0,0.292969
1,0.125,-0.3125,0.3125,0,0,0,1,0,0,0.199219
1,0.125,-0.1875,0.3125,0,0,0,1,0,0,0.136719
1,0.125,-0.0625,0.3125,0,0,0,1,0,0,0.105469
1,0.125,0.0625,0.3125,0,0,0,1,0,0,0.105469
1,0.125,0.1875,0.3125,0,0,0,1,0,0,0.136719
1,0.125,0.3125,0.3125,0,0,0,1,0,0,0.199219
1,0.125,0.4375,0.3125,0,0,0,1,0,0,0.292969
1,0.125,0.5625,0.3125,0,0,0,1,0,0,0.417969
2,0.125,0.6875,0.3125,0.128351,0.975133,0.221621,0.360457,-0.00223867,-6.16764e-07,0.497339
0,0.125,0.8125,0.3125,0,0,0,0,0,0,0
0,0.125,0.9375,0.3125,0,0,0,0,0,0,0
0,0.125,-0.9375,0.4375,0,0,0,0,0,0,0
0,0.125,-0.8125,0.4375,0,0,0,0,0,0,0
2,0.125,-0.6875,0.4375,0.0975924,-0.952926,0.303204,0.0905638,0.00461,-0.00157546,0.47201
2,0.125,-0.5625,0.4375,0.0346739,-0.932005,0.362446,0.986857,-0.00194682,0.00160672,0.512035
1,0.125,-0.4375,0.4375,0,0,0,1,0,0,0.386719
1,0.125,-0.3125,0.4375,0,0,0,1,0,0,0.292969
1,0.125,-0.1875,0.4375,0,0,0,1,0,0,0.230469
1,0.125,-0.0625,0.4375,0,0,0,1,0,0,0.199219
1,0.125,0.0625,0.4375,0,0,0,1,0,0,0.199219
1,0.125,0.1875,0.4375,0,0,0,1,0,0,0.230469
1,0.125,0.3125,0.4375,0,0,0,1,0,0,0.292969
1,0.125,0.4375,0.4375,0,0,0,1,0,0,0.386719
2,0.125,0.5625,0.4375,0.0346739,0.932005,0.362446,0.986857,0.00194682,0.00160673,0.512035
2,0.125,0.6875,0.4375,0.0975924,0.952926,0.303204,0.0905638,-0.00461,-0.00157546,0.47201
0,0.125,0.8125,0.4375,0,0,0,0,0,0,0
0,0.125,0.9375,0.4375,0,0,0,0,0,0,0
0,0.125,-0.9375,0.5625,0,0,0,0,0,0,0
0,0.125,-0.8125,0.5625,0,0,0,0,0,0,0
0,0.125,-0.6875,0.5625,0,0,0,0,0,0,0
2,0.125,-0.5625,0.5625,0.138809,-0.894427,0.447214,0.656366,-0.00271672,-7.43687e-06,0.604542
1,0.125,-0.4375,0.5625,0,0,0,1,0,0,0.511719
1,0.125,-0.3125,0.5625,0,0,0,1,0,0,0.417969
1,0.125,-0.1875,0.5625,0,0,0,1,0,0,0.355469
1,0.125,-0.0625,0.5625,0,0,0,1,0,0,0.324219
1,0.125,0.0625,0.5625,0,0,0,1,0,0,0.324219
1,0.125,0.1875,0.5625,0,0,0,1,0,0,0.355469
1,0.125,0.3125,0.5625,0,0,0,1,0,0,0.417969
1,0.125,0.4375,0.5625,0,0,0,1,0,0,0.511719
2,0.125,0.5625,0.5625,0.138809,0.894427,0.447214,0.656366,0.00271672,-7.43705e-06,0.604542
0,0.125,0.6875,0.5625,0,0,0,0,0,0,0
0,0.125,0.8125,0.5625,0,0,0,0,0,0,0
0,0.125,0.9375,0.5625,0,0,0,0,0,0,0
0,0.125,-0.9375,0.6875,0,0,0,0,0,0,0
0,0.125,-0.8125,0.6875,0,0,0,0,0,0,0
0,0.125,-0.6875,0.6875,0,0,0,0,0,0,0
2,0.125,-0.5625,0.6875,0.0971678,-0.853282,0.52145,0.136514,0.00354832,-0.00208451,0.595256
2,0.125,-0.4375,0.6875,0.0536789,-0.786318,0.617822,0.955934,-0.00249138,0.00220619,0.669182
1,0.125,-0.3125,0.6875,0,0,0,1,0,0,0.574219
1,0.125,-0.1875,0.6875,0,0,0,1,0,0,0.511719
1,0.125,-0.0625,0.6875,0,0,0,1,0,0,0.480469
1,0.125,0.0625,0.6875,0,0,0,1,0,0,0.480469
1,0.125,0.1875,0.6875,0,0,0,1,0,0,0.511719
1,0.125,0.3125,0.6875,0,0,0,1,0,0,0.574219
2,0.125,0.4375,0.6875,0.0536789,0.786318,0.617822,0.955934,0.00249138,0.0022062,0.669182
2,0.125,0.5625,0.6875,0.0971678,0.853282,0.52145,0.136514,-0.00354832,-0.00208451,0.595256
0,0.125,0.6875,0.6875,0,0,0,0,0,0,0
0,0.125,0.8125,0.6875,0,0,0,0,0,0,0
0,0.125,0.9375,0.6875,0,0,0,0,0,0,0
0,0.125,-0.9375,0.8125,0,0,0,0,0,0,0
0,0.125,-0.8125,0.8125,0,0,0,0,0,0,0
0,0.125,-0.6875,0.8125,0,0,0,0,0,0,0
0,0.125,-0.5625,0.8125,0,0,0,0,0,0,0
2,0.125,-0.4375,0.8125,0.134743,-0.732793,0.680451,0.29002,0.00217666,-0.00183407,0.721604
2,0.125,-0.3125,0.8125,0.0424872,-0.609711,0.792624,0.970838,-0.00195455,0.0020686,0.766581
1,0.125,-0.1875,0.8125,0,0,0,1,0,0,0.699219
1,0.125,-0.0625,0.8125,0,0,0,1,0,0,0.667969
1,0.125,0.0625,0.8125,0,0,0,1,0,0,0.667969
1,0.125,0.1875,0.8125,0,0,0,1,0,0,0.699219
2,0.125,0.3125,0.8125,0.0424872,0.609711,0.792624,0.970838,0.00195455,0.0020686,0.76658
2,0.125,0.4375,0.8125,0.134743,0.732793,0.680451,0.29002,-0.00217666,-0.00183406,0.721604
0,0.125,0.5625,0.8125,0,0,0,0,0,0,0
0,0.125,0.6875,0.8125,0,0,0,0,0,0,0
0,0.125,0.8125,0.8125,0,0,0,0,0,0,0
0,0.125,0.9375,0.8125,0,0,0,0,0,0,0
0,0.125,-0.9375,0.9375,0,0,0,0,0,0,0
0,0.125,-0.8125,0.9375,0,0,0,0,0,0,0
0,0.125,-0.6875,0.9375,0,0,0,0,0,0,0
0,0.125,-0.5625,0.9375,0,0,0,0,0,0,0
0,0.125,-0.4375,0.9375,0,0,0,0,0,0,0
2,0.125,-0.3125,0.9375,0.110332,-0.5547,0.83205,0.178753,0.0018002,-0.00355954,0.806729
2,0.125,-0.1875,0.9375,0.134197,-0.371391,0.928477,0.678088,3.32741e-06,0.00298866,0.864237
2,0.125,-0.0625,0.9375,0.125985,-0.132164,0.991228,0.936584,8.68212e-07,0.00687548,0.870095
2,0.125,0.0625,0.9375,0.125985,0.132164,0.991228,0.936584,-8.67686e-07,0.00687548,0.870095
2,0.125,0.1875,0.9375,0.134197,0.371391,0.928477,0.678088,-3.32722e-06,0.00298866,0.864237
2,0.125,0.3125,0.9375,0.110332,0.5547,0.83205,0.178753,-0.0018002,-0.00355954,0.806729
0,0.125,0.4375,0.9375,0,0,0,0,0,0,0
0,0.125,0.5625,0.9375,0,0,0,0,0,0,0
0,0.125,0.6875,0.9375,0,0,0,0,0,0,0
0,0.125,0.8125,0.9375,0,0,0,0,0,0,0
0,0.125,0.9375,0.9375,0,0,0,0,0,0,0
