Covered ID,Cell Size,CenterX,CenterY,Boundary Length,Boundary NormalX, Boundary NormalY,Volume Fraction,FirstX,FirstY,Laplacian
1,0.125,0.0625,-0.4375,0,0,0,1,0,0,0.199219
1,0.125,0.1875,-0.4375,0,0,0,1,0,0,0.230469
1,0.125,0.3125,-0.4375,0,0,0,1,0,0,0.292969
1,0.125,0.4375,-0.4375,0,0,0,1,0,0,0.386719
1,0.125,0.5625,-0.4375,0,0,0,1,0,0,0.511719
1,0.125,0.6875,-0.4375,0,0,0,1,0,0,0.667969
2,0.125,0.8125,-0.4375,0.0182342,0.880471,-0.4741,0.994948,0.00105104,-0.000991236,0.856509
2,0.125,0.9375,-0.4375,0.120886,0.906183,-0.422885,0.181141,-0.00441828,0.000963132,0.908927
2,0.125,-0.9375,-0.3125,0.131621,-0.948683,-0.316228,0.580996,-0.00133273,4.27146e-07,0.915533
1,0.125,-0.8125,-0.3125,0,0,0,1,0,0,0.761719
1,0.125,-0.6875,-0.3125,0,0,0,1,0,0,0.574219
1,0.125,-0.5625,-0.3125,0,0,0,1,0,0,0.417969
1,0.125,-0.4375,-0.3125,0,0,0,1,0,0,0.292969
1,0.125,-0.3125,-0.3125,0,0,0,1,0,0,0.199219
1,0.125,-0.1875,-0.3125,0,0,0,1,0,0,0.136719
1,0.125,-0.0625,-0.3125,0,0,0,1,0,0,0.105469
1,0.125,0.0625,-0.3125,0,0,0,1,0,0,0.105469
1,0.125,0.1875,-0.3125,0,0,0,1,0,0,0.136719
1,0.125,0.3125,-0.3125,0,0,0,1,0,0,0.199219
1,0.125,0.4375,-0.3125,0,0,0,1,0,0,0.292969
1,0.125,0.5625,-0.3125,0,0,0,1,0,0,0.417969
1,0.125,0.6875,-0.3125,0,0,0,1,0,0,0.574219
1,0.125,0.8125,-0.3125,0,0,0,1,0,0,0.761719
2,0.125,0.9375,-0.3125,0.131621,0.948683,-0.316228,0.580996,0.00133273,4.29908e-07,0.915533
2,0.125,-0.9375,-0.1875,0.127262,-0.980581,-0.196116,0.841038,-0.00542548,1.75263e-06,0.88991
1,0.125,-0.8125,-0.1875,0,0,0,1,0,0,0.699219
1,0.125,-0.6875,-0.1875,0,0,0,1,0,0,0.511719
1,0.125,-0.5625,-0.1875,0,0,0,1,0,0,0.355469
1,0.125,-0.4375,-0.1875,0,0,0,1,0,0,0.230469
1,0.125,-0.3125,-0.1875,0,0,0,1,0,0,0.136719
1,0.125,-0.1875,-0.1875,0,0,0,1,0,0,0.0742188
1,0.125,-0.0625,-0.1875,0,0,0,1,0,0,0.0429688
1,0.125,0.0625,-0.1875,0,0,0,1,0,0,0.0429688
1,0.125,0.1875,-0.1875,0,0,0,1,0,0,0.0742188
1,0.125,0.3125,-0.1875,0,0,0,1,0,0,0.136719
1,0.125,0.4375,-0.1875,0,0,0,1,0,0,0.230469
1,0.125,0.5625,-0.1875,0,0,0,1,0,0,0.355469
1,0.125,0.6875,-0.1875,0,0,0,1,0,0,0.511719
1,0.125,0.8125,-0.1875,0,0,0,1,0,0,0.699219
2,0.125,0.9375,-0.1875,0.127262,0.980581,-0.196116,0.841038,0.00542548,1.75557e-06,0.88991
2,0.125,-0.9375,-0.0625,0.125245,-0.997785,-0.066519,0.968505,-0.00733474,1.26902e-07,0.874986
1,0.125,-0.8125,-0.0625,0,0,0,1,0,0,0.667969
1,0.125,-0.6875,-0.0625,0,0,0,1,0,0,0.480469
1,0.125,-0.5625,-0.0625,0,0,0,1,0,0,0.324219
1,0.125,-0.4375,-0.0625,0,0,0,1,0,0,0.199219
1,0.125,-0.3125,-0.0625,0,0,0,1,0,0,0.105469
1,0.125,-0.1875,-0.0625,0,0,0,1,0,0,0.0429688
1,0.125,-0.0625,-0.0625,0,0,0,1,0,0,0.0117188
1,0.125,0.0625,-0.0625,0,0,0,1,0,0,0.0117188
1,0.125,0.1875,-0.0625,0,0,0,1,0,0,0.0429688
1,0.125,0.3125,-0.0625,0,0,0,1,0,0,0.105469
1,0.125,0.4375,-0.0625,0,0,0,1,0,0,0.199219
1,0.125,0.5625,-0.0625,0,0,0,1,0,0,0.324219
1,0.125,0.6875,-0.0625,0,0,0,1,0,0,0.480469
1,0.125,0.8125,-0.0625,0,0,0,1,0,0,0.667969
2,0.125,0.9375,-0.0625,0.125245,0.997785,-0.066519,0.968505,0.00733474,1.26873e-07,0.874986
2,0.125,-0.9375,0.0625,0.125245,-0.997785,0.066519,0.968505,-0.00733474,-1.26873e-07,0.874986
1,0.125,-0.8125,0.0625,0,0,0,1,0,0,0.667969
1,0.125,-0.6875,0.0625,0,0,0,1,0,0,0.480469
1,0.125,-0.5625,0.0625,0,0,0,1,0,0,0.324219
1,0.125,-0.4375,0.0625,0,0,0,1,0,0,0.199219
1,0.125,-0.3125,0.0625,0,0,0,1,0,0,0.105469
1,0.125,-0.1875,0.0625,0,0,0,1,0,0,0.0429688
1,0.125,-0.0625,0.0625,0,0,0,1,0,0,0.0117188
1,0.125,0.0625,0.0625,0,0,0,1,0,0,0.0117188
1,0.125,0.1875,0.0625,0,0,0,1,0,0,0.0429688
1,0.125,0.3125,0.0625,0,0,0,1,0,0,0.105469
1,0.125,0.4375,0.0625,0,0,0,1,0,0,0.199219
1,0.125,0.5625,0.0625,0,0,0,1,0,0,0.324219
1,0.125,0.6875,0.0625,0,0,0,1,0,0,0.480469
1,0.125,0.8125,0.0625,0,0,0,1,0,0,0.667969
2,0.125,0.9375,0.0625,0.125245,0.997785,0.066519,0.968505,0.00733474,-1.26902e-07,0.874986
2,0.125,-0.9375,0.1875,0.127262,-0.980581,0.196116,0.841038,-0.00542548,-1.75557e-06,0.88991
1,0.125,-0.8125,0.1875,0,0,0,1,0,0,0.699219
1,0.125,-0.6875,0.1875,0,0,0,1,0,0,0.511719
1,0.125,-0.5625,0.1875,0,0,0,1,0,0,0.355469
1,0.125,-0.4375,0.1875,0,0,0,1,0,0,0.230469
1,0.125,-0.3125,0.1875,0,0,0,1,0,0,0.136719
1,0.125,-0.1875,0.1875,0,0,0,1,0,0,0.0742188
1,0.125,-0.0625,0.1875,0,0,0,1,0,0,0.0429688
1,0.125,0.0625,0.1875,0,0,0,1,0,0,0.0429688
1,0.125,0.1875,0.1875,0,0,0,1,0,0,0.0742188
1,0.125,0.3125,0.1875,0,0,0,1,0,0,0.136719
1,0.125,0.4375,0.1875,0,0,0,1,0,0,0.230469
1,0.125,0.5625,0.1875,0,0,0,1,0,0,0.355469
1,0.125,0.6875,0.1875,0,0,0,1,0,0,0.511719
1,0.125,0.8125,0.1875,0,0,0,1,0,0,0.699219
2,0.125,0.9375,0.1875,0.127262,0.980581,0.196116,0.841038,0.00542548,-1.75263e-06,0.88991
2,0.125,-0.9375,0.3125,0.131621,-0.948683,0.316228,0.580996,-0.00133273,-4.29908e-07,0.915533
1,0.125,-0.8125,0.3125,0,0,0,1,0,0,0.761719
1,0.125,-0.6875,0.3125,0,0,0,1,0,0,0.574219
1,0.125,-0.5625,0.3125,0,0,0,1,0,0,0.417969
1,0.125,-0.4375,0.3125,0,0,0,1,0,0,0.292969
1,0.125,-0.3125,0.3125,0,0,0,1,0,0,0.199219
1,0.125,-0.1875,0.3125,0,0,0,1,0,0,0.136719
1,0.125,-0.0625,0.3125,0,0,0,1,0,0,0.105469
1,0.125,0.0625,0.3125,0,0,0,1,0,0,0.105469
1,0.125,0.1875,0.3125,0,0,0,1,0,0,0.136719
1,0.125,0.3125,0.3125,0,0,0,1,0,0,0.199219
1,0.125,0.4375,0.3125,0,0,0,1,0,0,0.292969
1,0.125,0.5625,0.3125,0,0,0,1,0,0,0.417969
1,0.125,0.6875,0.3125,0,0,0,1,0,0,0.574219
1,0.125,0.8125,0.3125,0,0,0,1,0,0,0.761719
2,0.125,0.9375,0.3125,0.131621,0.948683,0.316228,0.580996,0.00133273,-4.27146e-07,0.915533
2,0.125,-0.9375,0.4375,0.120886,-0.906183,0.422885,0.181141,0.00441828,-0.000963132,0.908927
2,0.125,-0.8125,0.4375,0.0182342,-0.880471,0.4741,0.994948,-0.00105104,0.000991236,0.856509
1,0.125,-0.6875,0.4375,0,0,0,1,0,0,0.667969
1,0.125,-0.5625,0.4375,0,0,0,1,0,0,0.511719
1,0.125,-0.4375,0.4375,0,0,0,1,0,0,0.386719
1,0.125,-0.3125,0.4375,0,0,0,1,0,0,0.292969
1,0.125,-0.1875,0.4375,0,0,0,1,0,0,0.230469
1,0.125,-0.0625,0.4375,0,0,0,1,0,0,0.199219
1,0.125,0.0625,0.4375,0,0,0,1,0,0,0.199219
1,0.125,0.1875,0.4375,0,0,0,1,0,0,0.230469
1,0.125,0.3125,0.4375,0,0,0,1,0,0,0.292969
1,0.125,0.4375,0.4375,0,0,0,1,0,0,0.386719
1,0.125,0.5625,0.4375,0,0,0,1,0,0,0.511719
1,0.125,0.6875,0.4375,0,0,0,1,0,0,0.667969
2,0.125,0.8125,0.4375,0.0182342,0.880471,0.4741,0.994948,0.00105104,0.000991238,0.856509
2,0.125,0.9375,0.4375,0.120886,0.906183,0.422885,0.181141,-0.00441828,-0.000963132,0.908927
0,0.125,-0.9375,0.5625,0,0,0,0,0,0,0
2,0.125,-0.8125,0.5625,0.151385,-0.822192,0.56921,0.586232,-0.00163401,-3.28168e-06,0.914251
1,0.125,-0.6875,0.5625,0,0,0,1,0,0,0.792969
1,0.125,-0.5625,0.5625,0,0,0,1,0,0,0.636719
1,0.125,-0.4375,0.5625,0,0,0,1,0,0,0.511719
1,0.125,-0.3125,0.5625,0,0,0,1,0,0,0.417969
1,0.125,-0.1875,0.5625,0,0,0,1,0,0,0.355469
1,0.125,-0.0625,0.5625,0,0,0,1,0,0,0.324219
1,0.125,0.0625,0.5625,0,0,0,1,0,0,0.324219
1,0.125,0.1875,0.5625,0,0,0,1,0,0,0.355469
1,0.125,0.3125,0.5625,0,0,0,1,0,0,0.417969
1,0.125,0.4375,0.5625,0,0,0,1,0,0,0.511719
1,0.125,0.5625,0.5625,0,0,0,1,0,0,0.636719
1,0.125,0.6875,0.5625,0,0,0,1,0,0,0.792969
2,0.125,0.8125,0.5625,0.151385,0.822192,0.56921,0.586232,0.00163401,-3.28041e-06,0.914252
0,0.125,0.9375,0.5625,0,0,0,0,0,0,0
0,0.125,-0.9375,0.6875,0,0,0,0,0,0,0
2,0.125,-0.8125,0.6875,0.047598,-0.763386,0.645942,0.0356751,0.00224644,-0.00210803,0.825241
2,0.125,-0.6875,0.6875,0.125246,-0.707107,0.707107,0.749016,-0.00228184,0.00228184,0.913802
1,0.125,-0.5625,0.6875,0,0,0,1,0,0,0.792969
1,0.125,-0.4375,0.6875,0,0,0,1,0,0,0.667969
1,0.125,-0.3125,0.6875,0,0,0,1,0,0,0.574219
1,0.125,-0.1875,0.6875,0,0,0,1,0,0,0.511719
1,0.125,-0.0625,0.6875,0,0,0,1,0,0,0.480469
1,0.125,0.0625,0.6875,0,0,0,1,0,0,0.480469
1,0.125,0.1875,0.6875,0,0,0,1,0,0,0.511719
1,0.125,0.3125,0.6875,0,0,0,1,0,0,0.574219
1,0.125,0.4375,0.6875,0,0,0,1,0,0,0.667969
1,0.125,0.5625,0.6875,0,0,0,1,0,0,0.792969
2,0.125,0.6875,0.6875,0.125246,0.707107,0.707107,0.749016,0.00228184,0.00228184,0.913802
2,0.125,0.8125,0.6875,0.047598,0.763386,0.645942,0.0356751,-0.00224644,-0.00210803,0.825241
0,0.125,0.9375,0.6875,0,0,0,0,0,0,0
0,0.125,-0.9375,0.8125,0,0,0,0,0,0,0
0,0.125,-0.8125,0.8125,0,0,0,0,0,0,0
2,0.125,-0.6875,0.8125,0.047598,-0.645942,0.763386,0.0356751,0.00210803,-0.00224644,0.825243
2,0.125,-0.5625,0.8125,0.151385,-0.56921,0.822192,0.586232,3.28111e-06,0.00163401,0.914251
2,0.125,-0.4375,0.8125,0.0182342,-0.4741,0.880471,0.994948,-0.000991236,0.00105104,0.856509
1,0.125,-0.3125,0.8125,0,0,0,1,0,0,0.761719
1,0.125,-0.1875,0.8125,0,0,0,1,0,0,0.699219
1,0.125,-0.0625,0.8125,0,0,0,1,0,0,0.667969
1,0.125,0.0625,0.8125,0,0,0,1,0,0,0.667969
1,0.125,0.1875,0.8125,0,0,0,1,0,0,0.699219
1,0.125,0.3125,0.8125,0,0,0,1,0,0,0.761719
2,0.125,0.4375,0.8125,0.0182342,0.4741,0.880471,0.994948,0.000991236,0.00105104,0.856509
2,0.125,0.5625,0.8125,0.151385,0.56921,0.822192,0.586232,-3.28092e-06,0.00163401,0.914251
2,0.125,0.6875,0.8125,0.047598,0.645942,0.763386,0.0356751,-0.00210803,-0.00224644,0.825243
0,0.125,0.8125,0.8125,0,0,0,0,0,0,0
0,0.125,0.9375,0.8125,0,0,0,0,0,0,0
0,0.125,-0.9375,0.9375,0,0,0,0,0,0,0
0,0.125,-0.8125,0.9375,0,0,0,0,0,0,0
0,0.125,-0.6875,0.9375,0,0,0,0,0,0,0
0,0.125,-0.5625,0.9375,0,0,0,0,0,0,0
2,0.125,-0.4375,0.9375,0.120886,-0.422885,0.906183,0.181141,0.000963132,-0.00441828,0.908927
2,0.125,-0.3125,0.9375,0.131621,-0.316228,0.948683,0.580996,4.28549e-07,0.00133273,0.915533
2,0.125,-0.1875,0.9375,0.127262,-0.196116,0.980581,0.841038,1.75457e-06,0.00542548,0.88991
2,0.125,-0.0625,0.9375,0.125245,-0.066519,0.997785,0.968505,1.27164e-07,0.00733474,0.874986
2,0.125,0.0625,0.9375,0.125245,0.066519,0.997785,0.968505,-1.26669e-07,0.00733474,0.874986
2,0.125,0.1875,0.9375,0.127262,0.196116,0.980581,0.841038,-1.75369e-06,0.00542548,0.88991
2,0.125,0.3125,0.9375,0.131621,0.316228,0.948683,0.580996,-4.28266e-07,0.00133273,0.915533
2,0.125,0.4375,0.9375,0.120886,0.422885,0.906183,0.181141,-0.000963132,-0.00441828,0.908927
0,0.125,0.5625,0.9375,0,0,0,0,0,0,0
0,0.125,0.6875,0.9375,0,0,0,0,0,0,0
0,0.125,0.8125,0.9375,0,0,0,0,0,0,0
0,0.125,0.9375,0.9375,0,0,0,0,0,0,0
